SKU,Brand,Product Name,Current Price,Price per unit,Unit Size,Previous Price,On Special,Suppliers,Category,Availability,URL,Date
3980255P,Head & Shoulders,Conditioner Smooth & Silky,17.0,$2.58 per 100mL,660mL,,,['422720 PROCTER & GAMBLE AUST P/L'],health-beauty,Available,https://shop.coles.com.au/a/national/product/smoth-silky,2021-04-23
3838775P,Coles,Jujube Prepack,9.9,$24.75 per 1Kg,400g,,,"['97446 CARTER & SPENCER GROUP P/L', '939301 FRESH PRODUCE DC (WA)', '939312 FRESH PRODUCE DC (NSW)', '942633 CARTER & SPENCER NORTH QLD', ""635235 COSTA'S P/L (VIC DC)"", '414760 ST GEORGE PROD PTY LTD', '933347 COSTAS (TASMANIA)']",fruit-vegetables,Available,https://shop.coles.com.au/a/national/product/fresh-jujube-prepack,2021-04-23
3760496P,The Spice Tailor,Malabar Biryani,5.5,$1.53 per 100G,360g,,,['968192 THE SPICE TAILOR (AUST) P/L'],international-foods,Available,https://shop.coles.com.au/a/national/product/the-spice-tailor-malabar-biriyani,2021-04-23
6046740P,Fantastic,Crispy Bacon Noodle Cup,1.6,$2.29 per 100G,70g,,,['68021 SAN REMO MACARONI CO P/L ACCT 1'],pantry,Available,https://shop.coles.com.au/a/national/product/fantastic-noodle-cup-crispy-bacon,2021-04-23
403765P,McCain,Frozen Ham & Pineapple Family Pizza,5.5,$1.10 per 100G,500g,7.0,Specials,['32557 MCCAIN FOO'],frozen,Available,https://shop.coles.com.au/a/national/product/mccain-pizza-family-ham-pineapple-frozen,2021-04-23
3274024P,Perfect Italiano,Grated Cheese Perfect Bakes,4.25,$17.00 per 1Kg,250g,4.8,Specials,['322385 FONTERRA BRANDS (AUST) P/L'],dairy--eggs-meals,Available,https://shop.coles.com.au/a/national/product/perfect-italiano-grated-cheese-perfect-bakes,2021-04-23
3820940P,Nivea,Sun Protect & Moisture SPF 50+,30.0,$3.00 per 100mL,1L,,,['936507 BEIERSDORF AUST LTD'],health-beauty,Available,https://shop.coles.com.au/a/national/product/nivea-sun-protect-moisture-spf50-,2021-04-23
2372640P,Sistema,To Go Mini Bites,6.0,$2.00 per 1Ea,3 pack,,,['731501 SISTEMA PLASTICS AUST LTD'],household,Available,https://shop.coles.com.au/a/national/product/sistema-mini-bites-containers-3-pack,2021-04-23
9091377P,Peters,Drumstick Caramel Swirl Ice Cream Cones 4 pack,5.0,$1.05 per 100mL,475mL,8.4,Specials,"['643751 NESTLE PETERS ICE CREAM', '968585 PETERS ICE CREAM']",entertaining-at-home,Available,https://shop.coles.com.au/a/national/product/nestle-peters-drumstick-ice-cream-caramel-475ml,2021-04-23
9622101P,Tena,Level 2 Incontinence Pouches For Men,8.0,$0.80 per 1Ea,10 pack,9.4,Specials,"['4545 THE SORBENT PAPER CO', '976023 ASALEO PERSONAL CARE']",health-beauty,Available,https://shop.coles.com.au/a/national/product/tena-for-men-incontinence-pouches-level-2,2021-04-23
5060666P,Twinings,Chai & Vanilla Tea Bags 10 pack,2.9,$0.29 per 1Ea,20g,,Specials,['941157 AB FOOD &'],pantry,Available,https://shop.coles.com.au/a/national/product/twinings-origins-tea-bags-chai-vanilla,2021-04-23
3116238P,Cook & Dine,Speed Peeler,2.0,$2.00 per 1Ea,1 each,,,"['970149 Globaleyes Distribution (COLESBR', '975760 GLOBALEYES DISTRIBUTION PTY LTD', '945707 GLOBALEYES DISTRIBUTION P/L (XDO']",household,Available,https://shop.coles.com.au/a/national/product/cook-dine-speed-peeler-,2021-04-23
3715083P,Coles,Chicken Pho With Noodles Soup Serves 2,1.0,$1.67 per 100G,60g,,,['972707 MANSFIELDS PTY LTD'],pantry,Available,https://shop.coles.com.au/a/national/product/coles-2-serve-soup-chicken-pho-w-nodles,2021-04-23
9153780P,Bepanthen,Antiseptic Soothing Cream,12.0,$12.00 per 100G,100g,,,"['636312 ROCHE PRODUCTS P/L', '3778 BAYER AUSTRALIA LTD', '943994 BAYER AUST LTD']",health-beauty,Available,https://shop.coles.com.au/a/national/product/bepanthen-antiseptic-cream,2021-04-23
