SKU,Brand,Product Name,Price,Package Size,Price per unit,Specials,Tag Description,Online Only,Availability,New Product,Ratings,Department,Product URL,Date
162369,mighty soft,Mighty Soft Wholemeal,,650g,,,,,Unavailable,,0,['Bakery'],https://www.woolworths.com.au/shop/productdetails/162369/mighty-soft-wholemeal,2021-04-23
128758,pariya,Pariya Blanched Pistachios,,160g,,,,,Unavailable,,0,[],https://www.woolworths.com.au/shop/productdetails/128758/pariya-blanched-pistachios,2021-04-23
840249,colonel & the merchant,Colonel & The Merchant Coonawarra Pinot Noir Rose,,750ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/840249/colonel-the-merchant-coonawarra-pinot-noir-rose,2021-04-23
407542,monkey 47,Monkey 47 Schwarzwald Dry Gin,,500ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/407542/monkey-47-schwarzwald-dry-gin,2021-04-23
116952,credaro,Credaro 5 Tales Sauvignon Blanc Semillon,,750ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/116952/credaro-5-tales-sauvignon-blanc-semillon,2021-04-23
903327,bundaberg,Bundaberg Dark & Stormy 24x375ml,,24x375ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/903327/bundaberg-dark-stormy-24x375ml,2021-04-23
145253,davis,Davis Gelatine Granulated,,100g,,,,,Unavailable,,0,['Pantry'],https://www.woolworths.com.au/shop/productdetails/145253/davis-gelatine-granulated,2021-04-23
814139,em wholefoods,Em Wholefoods Hemp Oil Cold Pressed,19.95,250ml,$7.98 / 100ML,,,,Available,,0,['Pantry'],https://www.woolworths.com.au/shop/productdetails/814139/em-wholefoods-hemp-oil-cold-pressed,2021-04-23
305693,essentials,Essentials Utensil Beech Wood Stirring Spoon,,each,,,,,Unavailable,,0,['Household'],https://www.woolworths.com.au/shop/productdetails/305693/essentials-utensil-beech-wood-stirring-spoon,2021-04-23
829742,lightfoot & sons,Lightfoot & Sons Pinot Noir,,750ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/829742/lightfoot-sons-pinot-noir,2021-04-23
92147,the real,The Real Shredded Mozzarella Cheese,,2kg,,,,,Unavailable,,0,"['Dairy, Eggs & Fridge']",https://www.woolworths.com.au/shop/productdetails/92147/the-real-shredded-mozzarella-cheese,2021-04-23
676176,harcourt,Harcourt Apple Cider,,500ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/676176/harcourt-apple-cider,2021-04-23
900330,grosset,Grosset Piccadilly Chardonnay,,750ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/900330/grosset-piccadilly-chardonnay,2021-04-23
337817,tempo,Tempo Shredded Mozzarella Cheese,,1kg,,,,,Unavailable,,0,"['Dairy, Eggs & Fridge']",https://www.woolworths.com.au/shop/productdetails/337817/tempo-shredded-mozzarella-cheese,2021-04-23
672890,bentspoke,Bentspoke Mort's Gold Can,,375ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/672890/bentspoke-mort-s-gold-can,2021-04-23
670772,liebers,Liebers Bbq Sauce Onion Garlic,,510g,,,,,Unavailable,,0,['Pantry'],https://www.woolworths.com.au/shop/productdetails/670772/liebers-bbq-sauce-onion-garlic,2021-04-23
778968,swings & roundabouts,Swings & Roundabouts Margaret River Rose,,750ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/778968/swings-roundabouts-margaret-river-rose,2021-04-23
416592,matso's,Matso's Ginger Beer Cans,,330ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/416592/matso-s-ginger-beer-cans,2021-04-23
84972,happy little camper,Happy Little Camper Newborn Natural Nappies,14.0,36 pack,$0.39 / 1EA,,,,Available,,0,['Baby'],https://www.woolworths.com.au/shop/productdetails/84972/happy-little-camper-newborn-natural-nappies,2021-04-23
129130,la tourangelle,La Tourangelle Virgin Hemp Oil,,250ml,,,,,Unavailable,,0,[],https://www.woolworths.com.au/shop/productdetails/129130/la-tourangelle-virgin-hemp-oil,2021-04-23
728457,coopers,Coopers Vintage Ale Bottle,,355ml single,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/728457/coopers-vintage-ale-bottle,2021-04-23
904992,kingfisher,Kingfisher Lager Bottles,,6x330ml pack,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/904992/kingfisher-lager-bottles,2021-04-23
787510,kirrihill,Kirrihill Regional Riesling,,750ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/787510/kirrihill-regional-riesling,2021-04-23
128925,pariya,Pariya Rose Syrup,,110ml,,,,,Unavailable,,0,[],https://www.woolworths.com.au/shop/productdetails/128925/pariya-rose-syrup,2021-04-23
376323,baron herzog,Baron Herzog Red Zinfandel Lodi,,750ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/376323/baron-herzog-red-zinfandel-lodi,2021-04-23
248693,energizer,Energizer Universal Headlight Headlight,,each,,,,,Unavailable,,0,['Household'],https://www.woolworths.com.au/shop/productdetails/248693/energizer-universal-headlight-headlight,2021-04-23
582928,darrell lea,Darrell Lea Liquorice All Sorts,,230g,,,,,Unavailable,,0,['Pantry'],https://www.woolworths.com.au/shop/productdetails/582928/darrell-lea-liquorice-all-sorts,2021-04-23
13594,houghton,Houghton Reserve Cabermet Sauvignon,16.0,750ml,,,,,Available,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/13594/houghton-reserve-cabermet-sauvignon,2021-04-23
980914,vodka cruiser,Vodka Cruiser Pink Grapefruit,,275ml x24 pack,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/980914/vodka-cruiser-pink-grapefruit,2021-04-23
95412,spc,Spc Spaghetti Rich Tomato,10.5,140g x12 pack,$0.63 / 100G,,,,Available,,0,['Pantry'],https://www.woolworths.com.au/shop/productdetails/95412/spc-spaghetti-rich-tomato,2021-04-23
262155,chevron,Chevron Aa Batteries Super Heavy Duty,,4 pack,,,,,Unavailable,,0,['Household'],https://www.woolworths.com.au/shop/productdetails/262155/chevron-aa-batteries-super-heavy-duty,2021-04-23
